method,route,controller,handler,module,auth_guard,dto_or_body,response_type,binary_or_json,writes_db,tables_written,audit_log_action,runtime_or_generated,uses_contract_renderer,uses_legacy_renderer,uses_pdf_conversion,frontend_callers,risk_level,notes
POST,/documents/generated/:id/bm031-direct-form-inputs,Bm031DirectController,saveFormInputs,Bm031DirectModule,Global AuthGuard unless public,Record<string unknown>,json,json,YES,generated_documents,NONE,generated,NO,YES,NO,bm-031 panel,CRITICAL,BM-specific direct save duplicates standard form-inputs and contract-form-inputs
GET,/cases/:caseId/offenses,CaseOffensesController,list,CasesModule,Global AuthGuard unless public,param,json,json,NO,,NONE,case,NO,NO,NO,case workspace,LOW,Case domain read
POST,/cases/:caseId/offenses,CaseOffensesController,create,CasesModule,Global AuthGuard unless public,body,json,json,YES,case_offenses/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Case domain write
PATCH,/cases/:caseId/offenses/:caseOffenseId,CaseOffensesController,update,CasesModule,Global AuthGuard unless public,body,json,json,YES,case_offenses/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Case domain write
DELETE,/cases/:caseId/offenses/:caseOffenseId,CaseOffensesController,remove,CasesModule,Global AuthGuard unless public,param,json,json,YES,case_offenses/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Case domain write
GET,/cases/:caseId/people,CasePeopleController,list,CasesModule,Global AuthGuard unless public,param,json,json,NO,,NONE,case,NO,NO,NO,case workspace,LOW,Case people read
POST,/cases/:caseId/people,CasePeopleController,create,CasesModule,Global AuthGuard unless public,body,json,json,YES,case_people/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Case people write
PATCH,/cases/:caseId/people/:casePersonId,CasePeopleController,update,CasesModule,Global AuthGuard unless public,body,json,json,YES,case_people/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Case people write
DELETE,/cases/:caseId/people/:casePersonId,CasePeopleController,remove,CasesModule,Global AuthGuard unless public,param,json,json,YES,case_people/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Case people write
POST,/auth/login,AuthController,login,AuthModule,Public likely,LoginDto,json,json,YES,auth_sessions,NONE,auth,NO,NO,NO,login,LOW,Legacy qlv_session creation
POST,/auth/logout,AuthController,logout,AuthModule,Global AuthGuard/session,Cookie,json,json,YES,auth_sessions,NONE,auth,NO,NO,NO,logout,LOW,Session deletion
GET,/auth/me,AuthController,me,AuthModule,Global AuthGuard,None,json,json,NO,,NONE,auth,NO,NO,NO,auth gate,LOW,Current user
GET,/auth/users,AuthController,users,AuthModule,Global AuthGuard/admin?,query,json,json,NO,,NONE,auth,NO,NO,NO,admin,LOW,User list
GET,/auth/agency,AuthController,agency,AuthModule,Global AuthGuard,None,json,json,NO,,NONE,auth,NO,NO,NO,workspace,LOW,Agency info
POST,/auth/change-password,AuthController,changePassword,AuthModule,Global AuthGuard,body,json,json,YES,officials/auth_sessions,NONE,auth,NO,NO,NO,account,LOW,Password/session mutation
POST,/auth/webhooks/clerk,ClerkWebhookController,handle,AuthModule,Webhook verification,body,json,json,YES,auth_identities/officials,NONE,auth,NO,NO,NO,Clerk webhook,MEDIUM,Remote webhook mutates identity links
GET,/admin/auth/identities,AdminAuthIdentitiesController,listIdentities,AuthModule,Admin required,query,json,json,NO,,NONE,auth,NO,NO,NO,admin,LOW,Identity admin read
GET,/admin/auth/identities/officials/search,AdminAuthIdentitiesController,searchActiveOfficials,AuthModule,Admin required,query,json,json,NO,,NONE,auth,NO,NO,NO,admin,LOW,Official search
POST,/admin/auth/identities/:id/link,AdminAuthIdentitiesController,link,AuthModule,Admin required,body,json,json,YES,auth_identities,NONE,auth,NO,NO,NO,admin,MEDIUM,Identity link mutation
POST,/admin/auth/identities/:id/unlink,AdminAuthIdentitiesController,unlink,AuthModule,Admin required,param,json,json,YES,auth_identities,NONE,auth,NO,NO,NO,admin,MEDIUM,Identity unlink mutation
GET,/cases/:caseId/assignments,CaseAssignmentsController,list,CasesModule,Global AuthGuard,param,json,json,NO,,NONE,case,NO,NO,NO,case workspace,LOW,Assignment read
POST,/cases/:caseId/assignments,CaseAssignmentsController,create,CasesModule,Global AuthGuard,body,json,json,YES,case_assignments/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Assignment write
PATCH,/cases/:caseId/assignments/:assignmentId,CaseAssignmentsController,update,CasesModule,Global AuthGuard,body,json,json,YES,case_assignments/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Assignment write
DELETE,/cases/:caseId/assignments/:assignmentId,CaseAssignmentsController,remove,CasesModule,Global AuthGuard,param,json,json,YES,case_assignments/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Assignment write
GET,/cases,CasesController,findAll,CasesModule,Global AuthGuard,query,json,json,NO,,NONE,case,NO,NO,NO,case list,LOW,Case list
GET,/cases/reports/summary,CasesController,summary,CasesModule,Global AuthGuard,query,json,json,NO,,NONE,case,NO,NO,NO,dashboard,LOW,Case summary
POST,/cases,CasesController,create,CasesModule,Global AuthGuard,body,json,json,YES,cases/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Case create
GET,/cases/:id,CasesController,findOne,CasesModule,Global AuthGuard,param,json,json,NO,,NONE,case,NO,NO,NO,case workspace,LOW,Case detail
PATCH,/cases/:id,CasesController,update,CasesModule,Global AuthGuard,body,json,json,YES,cases/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Case update
GET,/cases/:caseId/evidence,EvidenceController,list,CasesModule,Global AuthGuard,param,json,json,NO,,NONE,case,NO,NO,NO,case workspace,LOW,Evidence read
POST,/cases/:caseId/evidence,EvidenceController,create,CasesModule,Global AuthGuard,body,json,json,YES,evidence/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Evidence write
PATCH,/cases/:caseId/evidence/:evidenceId,EvidenceController,update,CasesModule,Global AuthGuard,body,json,json,YES,evidence/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Evidence write
DELETE,/cases/:caseId/evidence/:evidenceId,EvidenceController,remove,CasesModule,Global AuthGuard,param,json,json,YES,evidence/case_events,NONE,case,NO,NO,NO,case workspace,LOW,Evidence write
GET,/documents/generated,DocumentReviewsController,findGeneratedDocuments,DocumentsModule,Global AuthGuard,query,json,json,NO,,NONE,generated,NO,NO,NO,generated workspace,MEDIUM,Generated document list; agency enforcement service-dependent
GET,/documents/generated/:documentId,DocumentReviewsController,findGeneratedDocument,DocumentsModule,Global AuthGuard,param,json,json,NO,,NONE,generated,NO,NO,NO,generated workspace,MEDIUM,Generated document detail; agency enforcement service-dependent
GET,/documents/generated/:documentId/history,DocumentReviewsController,getDocumentHistory,DocumentsModule,Global AuthGuard,param,json,json,NO,,NONE,generated,NO,NO,NO,generated workspace,MEDIUM,History read
POST,/documents/generated/:documentId/review,DocumentReviewsController,reviewGeneratedDocument,DocumentsModule,Global AuthGuard,ReviewGeneratedDocumentDto,json,json,YES,generated_documents/case_events,NONE,generated,NO,NO,NO,review UI,HIGH,Review mutation lacks generated_document_audit_logs evidence in controller
POST,/documents/generated/:documentId/convert-pdf,DocumentPdfController,convertPdf,DocumentsModule,Global AuthGuard,ConvertGeneratedDocumentPdfDto,json,json,YES,stored_files/generated_document_files/generated_documents?,NONE,generated,NO,YES,YES,document-render-api,HIGH,PDF conversion path separate from DOCX render audit semantics
GET,/document-review-queue,DocumentReviewQueueController,list,DocumentsModule,Global AuthGuard,query,json,json,NO,,NONE,generated,NO,NO,NO,review queue,LOW,Review queue read
PATCH,/document-review-queue/:documentId/status,DocumentReviewQueueController,updateStatus,DocumentsModule,Global AuthGuard,body,json,json,YES,generated_documents/case_events,NONE,generated,NO,NO,NO,review queue,MEDIUM,Status mutation
GET,/documents/generated/:documentId/files/:fileId/download,DocumentFilesController,downloadGeneratedFile,DocumentsModule,Global AuthGuard,param,StreamableFile,binary,NO,,GENERATED_DOCUMENT_DOWNLOADED,generated,NO,NO,NO,file download,MEDIUM,Reads file after authorization and audits success/denied
DELETE,/documents/generated/:documentId/files/:fileId,DocumentFilesController,deleteGeneratedFile,DocumentsModule,Global AuthGuard,param,json,json,YES,generated_document_files/stored_files,GENERATED_DOCUMENT_FILE_DELETED,generated,NO,NO,NO,file management,HIGH,Deletes artifact metadata/possibly physical file
POST,/documents/generated/:documentId/files/bulk-delete,DocumentFilesController,bulkDeleteGeneratedFiles,DocumentsModule,Global AuthGuard,DeleteGeneratedDocumentFilesDto,json,json,YES,generated_document_files/stored_files,GENERATED_DOCUMENT_FILES_BULK_DELETED,generated,NO,NO,NO,file management,HIGH,Bulk artifact deletion
POST,/documents/generated/:documentId/files/cleanup,DocumentFilesController,cleanupGeneratedFiles,DocumentsModule,Global AuthGuard,CleanupGeneratedDocumentFilesDto,json,json,YES,generated_document_files/stored_files,GENERATED_DOCUMENT_FILES_CLEANED_UP,generated,NO,NO,NO,file management,HIGH,Cleans generated artifacts
PUT,/documents/generated/:documentId/contract-form-inputs,ContractFormInputsController,save,FormStudioModule,Global AuthGuard,SaveContractFormInputsDto,json,json,YES,generated_documents,NONE,generated,YES,NO,NO,PublishedContractFormInputsPanel,CRITICAL,Contract-v2 save path duplicates legacy form-inputs but has stronger validator
GET,/documents/generated/:documentId/render-payload,DocumentRendererController,getRenderPayload,DocumentsModule,Global AuthGuard,param,json,json,NO,,NONE,generated,NO,YES,NO,many BM panels,HIGH,Legacy payload builder surface
GET,/documents/generated/:documentId/pre-export-config,DocumentRendererController,getPreExportConfig,DocumentsModule,Global AuthGuard,param,json,json,NO,,NONE,generated,NO,YES,NO,pre-export UI,MEDIUM,Pre-export config read
PUT,/documents/generated/:documentId/pre-export-config,DocumentRendererController,savePreExportConfig,DocumentsModule,Global AuthGuard,UpdateGeneratedDocumentPreExportConfigDto,json,json,YES,generated_documents,NONE,generated,NO,YES,NO,pre-export UI,HIGH,Pre-export mutation separate from contract validation
POST,/documents/generated/:documentId/pre-export-config/scan-blanks,DocumentRendererController,scanPreExportBlankCandidates,DocumentsModule,Global AuthGuard,ScanGeneratedDocumentPreExportBlanksDto,json,json,NO,,NONE,generated,NO,YES,NO,pre-export UI,MEDIUM,Scans blanks through legacy service
POST,/documents/generated/:documentId/form-inputs,DocumentRendererController,updateFormInputs,DocumentsModule,Global AuthGuard,UpdateGeneratedDocumentFormInputsDto,json,json,YES,generated_documents/case_events,NONE,generated,NO,YES,NO,many BM panels,CRITICAL,Legacy generated form-inputs save path with BM-specific merges
POST,/documents/generated/:documentId/render-docx,DocumentRendererController,renderDocx,DocumentsModule,Global AuthGuard,RenderGeneratedDocumentDto,json,json,YES,stored_files/generated_document_files/generated_documents/case_events,missing direct audit evidence,generated,YES,YES,NO,generated-documents-api/document-render-api,CRITICAL,Policy-selected renderer can be legacy/shadow/active
POST,/forms/runtime/:templateCode/preview-session,RuntimeTemplateRenderController,createPreviewSession,DocumentsModule,Global AuthGuard unless public,CreatePreviewSessionDto,RuntimePreviewSession,json,NO,,session metadata only,runtime,YES,NO,YES,template preview workspace,MEDIUM,Correctly non-persisted but validation differs from generated contract save
GET,/forms/runtime/preview-sessions/:sessionId/docx,RuntimeTemplateRenderController,downloadPreviewSessionDocx,DocumentsModule,Global AuthGuard unless public,param,StreamableFile,binary,NO,,NONE,runtime,YES,NO,NO,template preview workspace,LOW,Temp DOCX download only
GET,/forms/runtime/preview-sessions/:sessionId/pdf,RuntimeTemplateRenderController,getPreviewSessionPdf,DocumentsModule,Global AuthGuard unless public,param,StreamableFile,binary,NO,,NONE,runtime,YES,NO,YES,template preview workspace,LOW,Temp PDF download only
POST,/forms/runtime/:templateCode/render-docx,RuntimeTemplateRenderController,renderDocx,DocumentsModule,Global AuthGuard unless public,RenderRuntimeTemplateDocxDto,StreamableFile,binary,NO,,NONE,runtime,YES,NO,NO,runtime-template-export,MEDIUM,Direct runtime binary render using locked contract plan
GET,/documents/cases/:caseId/available-templates,DocumentsController,getAvailableTemplates,DocumentsModule,Global AuthGuard,param,json,json,NO,,NONE,generated,NO,NO,NO,case document creation,LOW,Available templates for case
POST,/documents/cases/:caseId/plan,DocumentsController,buildPlan,DocumentsModule,Global AuthGuard,CreateDocumentGenerationBatchDto,json,json,NO,,NONE,generated,NO,NO,NO,case document creation,MEDIUM,Planning endpoint no DB writes expected
POST,/documents/cases/:caseId/batches,DocumentsController,createBatch,DocumentsModule,Global AuthGuard,CreateDocumentGenerationBatchDto,json,json,YES,generated_documents/document_batches/render_payload_snapshot,GENERATED_DOCUMENT_CREATED,generated,NO,NO,NO,case document creation,CRITICAL,Creates persisted generated document workspace
GET,/documents/batches/:batchId,DocumentsController,findBatch,DocumentsModule,Global AuthGuard,param,json,json,NO,,NONE,generated,NO,NO,NO,case document creation,LOW,Batch read
GET,/documents/generated/:documentId/audit,GeneratedDocumentAuditController,list,DocumentsModule,Global AuthGuard,param/query,json,json,NO,,NONE,generated,NO,NO,NO,audit UI,LOW,Reads generated_document_audit_logs
GET,/documents/generated/:documentId/preview,DocxPreviewController,previewDocx,DocumentsModule,Global AuthGuard,param,json/json-html,json,NO,,NONE,generated,NO,NO,NO,preview UI,MEDIUM,Preview latest generated DOCX
GET,/documents/generated/:documentId/preview/audit,DocxPreviewController,previewAudit,DocumentsModule,Global AuthGuard,param,json,json,NO,,NONE,generated,NO,NO,NO,preview UI,LOW,Style audit read
GET,/documents/preview/sample-data,DocxPreviewController,getSampleData,DocumentsModule,Global AuthGuard,None,json,json,NO,,NONE,sample,NO,NO,NO,dev/preview,MEDIUM,Sample data endpoint must not feed legal output accidentally
GET,/admin/form-templates,AdminFormTemplatesController,list,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,query,json,json,NO,,NONE,form-studio,YES,NO,NO,admin form studio,MEDIUM,Form authoring read
POST,/admin/form-templates,AdminFormTemplatesController,createBlank,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,CreateBlankFormTemplateDto,json,json,YES,form_templates/form_drafts,NONE,form-studio,YES,NO,NO,admin form studio,HIGH,Creates authoring template record
POST,/admin/form-templates/import,AdminFormTemplatesController,import,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,multipart DOC/DOCX,json,json,YES,form_templates/stored_files/form_drafts,NONE,form-studio,YES,NO,NO,admin form studio,HIGH,Imports source file into authoring system
POST,/admin/form-templates/:id/open-design,AdminFormTemplatesController,openDesign,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,param,json,json,YES,form_drafts,NONE,form-studio,YES,NO,NO,admin form studio,MEDIUM,Opens draft
GET,/admin/form-drafts/:draftId,AdminFormDraftsController,get,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,param,json,json,NO,,NONE,form-studio,YES,NO,NO,admin form studio,LOW,Draft read
PATCH,/admin/form-drafts/:draftId,AdminFormDraftsController,patch,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,PatchFormDraftDto,json,json,YES,form_drafts,NONE,form-studio,YES,NO,NO,admin form studio,HIGH,Draft mutation
DELETE,/admin/form-drafts/:draftId,AdminFormDraftsController,delete,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,param,json,json,YES,form_drafts,NONE,form-studio,YES,NO,NO,admin form studio,HIGH,Draft deletion
POST,/admin/form-drafts/:draftId/validate,AdminFormDraftsController,validate,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,param,json,json,NO,,NONE,form-studio,YES,NO,NO,admin form studio,LOW,Draft validation
POST,/admin/form-drafts/:draftId/preview,AdminFormDraftsController,preview,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,PreviewFormDraftDto,json,json,YES,form_preview_jobs/stored_files,NONE,form-studio,YES,NO,YES,admin form studio,HIGH,Authoring preview job writes preview artifacts
POST,/admin/form-drafts/:draftId/submit-review,AdminFormDraftsController,submitReview,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,param,json,json,YES,form_reviews/form_drafts,NONE,form-studio,YES,NO,NO,admin form studio,HIGH,Authoring review workflow
GET,/admin/form-reviews/:id,AdminFormReviewsController,get,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_APPROVE,param,json,json,NO,,NONE,form-studio,YES,NO,NO,admin form studio,LOW,Review read
POST,/admin/form-reviews/:id/request-changes,AdminFormReviewsController,requestChanges,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_APPROVE,FormReviewCommentDto,json,json,YES,form_reviews/form_drafts,NONE,form-studio,YES,NO,NO,admin form studio,HIGH,Authoring review mutation
POST,/admin/form-reviews/:id/approve,AdminFormReviewsController,approve,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_APPROVE,FormReviewCommentDto,json,json,YES,form_contract_versions/form_reviews/form_drafts,NONE,form-studio,YES,NO,NO,admin form studio,HIGH,Publishes/approves contract version
POST,/admin/form-versions/:id/publish,AdminFormVersionsController,publish,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_APPROVE,param,json,json,YES,form_contract_versions,NONE,form-studio,YES,NO,NO,admin form studio,HIGH,Publish contract version
POST,/admin/form-versions/:id/archive,AdminFormVersionsController,archive,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_APPROVE,param,json,json,YES,form_contract_versions,NONE,form-studio,YES,NO,NO,admin form studio,HIGH,Archive contract version
GET,/admin/form-preview-jobs/:jobId,FormPreviewJobsController,get,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,param,json,json,NO,,NONE,form-studio,YES,NO,YES,admin form studio,LOW,Preview job read
GET,/admin/form-preview-jobs/:jobId/file,FormPreviewJobsController,file,FormStudioModule,RequireFormPermissions FORM_TEMPLATE_EDIT,param,binary,binary,NO,,NONE,form-studio,YES,NO,NO,admin form studio,MEDIUM,Uses res.download preview artifact
GET,/forms/runtime/:templateCode,RuntimeFormContractController,get,FormStudioModule,Global AuthGuard unless public,param/query,RuntimeFormContractResponse,json,NO,,NONE,runtime,YES,NO,NO,ContractV2Renderer/runtime UI,HIGH,Contract source can be DB-published while render plan uses locked JSON
GET,/form-platform/catalog,FormPlatformCatalogController,list,FormStudioModule,Global AuthGuard optional user,None,json,json,NO,,NONE,runtime,YES,NO,NO,template picker,LOW,Contract platform catalog read
GET,/form-platform/catalog/:templateCode,FormPlatformCatalogController,get,FormStudioModule,Global AuthGuard optional user,param,json,json,NO,,NONE,runtime,YES,NO,NO,template picker,LOW,Contract platform item read
GET,/admin/form-permissions,FormPermissionsController,list,FormStudioModule,Admin/permission admin,query,json,json,NO,,NONE,auth,NO,NO,NO,admin permissions,LOW,Permission list
POST,/admin/form-permissions,FormPermissionsController,grant,FormStudioModule,Admin/permission admin,body,json,json,YES,official_permissions,NONE,auth,NO,NO,NO,admin permissions,MEDIUM,Permission grant
DELETE,/admin/form-permissions/:id,FormPermissionsController,revoke,FormStudioModule,Admin/permission admin,param,json,json,YES,official_permissions,NONE,auth,NO,NO,NO,admin permissions,MEDIUM,Permission revoke
POST,/import/upload,ImportsController,upload,ImportsModule,Global AuthGuard,multipart files,json,json,YES,stored_files/import_batches,NONE,import,NO,NO,NO,import UI,MEDIUM,File upload import
GET,/import/history,ImportsController,history,ImportsModule,Global AuthGuard,query,json,json,NO,,NONE,import,NO,NO,NO,import UI,LOW,Import history
GET,/import/batches/:batchId,ImportsController,batch,ImportsModule,Global AuthGuard,param,json,json,NO,,NONE,import,NO,NO,NO,import UI,LOW,Import batch read
POST,/import/batches/:batchId/confirm,ImportsController,confirm,ImportsModule,Global AuthGuard,ConfirmImportBatchDto,json,json,YES,cases/templates/related import targets,NONE,import,NO,NO,NO,import UI,HIGH,Import confirm mutates selected domain tables
GET,/import/files/:fileId/download,ImportsController,download,ImportsModule,Global AuthGuard,param,StreamableFile,binary,NO,,NONE,import,NO,NO,NO,import UI,LOW,Import source file download
GET,/documents/generated/:documentId/form-schema,DocumentFormSchemaController,getFormSchema,FormStudioModule,Global AuthGuard,param,FormInputSchema,json,NO,,NONE,generated,YES,NO,NO,PublishedContractFormInputsPanel,HIGH,Read-only schema matches ContractFormInputsService source path
GET,/forms/catalog,FormsCatalogController,list,FormsContractsModule,Global AuthGuard,query,json,json,NO,,NONE,runtime,YES,NO,NO,template picker,LOW,Forms catalog read
GET,/forms/catalog/by-stage,FormsCatalogController,byStage,FormsContractsModule,Global AuthGuard,query,json,json,NO,,NONE,runtime,YES,NO,NO,template picker,LOW,Catalog grouped read
GET,/forms/catalog/:sourceId,FormsCatalogController,get,FormsContractsModule,Global AuthGuard,param,json,json,NO,,NONE,runtime,YES,NO,NO,template picker,LOW,Catalog item read
