templateCode,sourceId,title,issueCount,failCount,reviewCount,primaryLane,risk,keepDeferred,BAD_LABEL,UI_VISIBLE_BAD_METADATA,GENERIC_FIELD_CANONICALIZATION,RAW_PATTERN_DOMAIN_MISMATCH,SOURCE_MISMATCH,SHOULD_BE_READONLY,REQUIRED_SUSPICIOUS,COMPILED_DRIFT,REMEDIATION_LEAK,WEAK_EVIDENCE_AUTO_LOCKED,nextAction
BM-060,BM-060__55a252b4f98f,QĐ áp giải bị can,2,0,2,DOCX_AUTHORING,HIGH,false,0,0,0,0,0,0,1,1,0,0,Return to normalized/source DOCX evidence; reauthor or remap before contract mutation.
BM-061,BM-061__ec44550246e9,QĐ dẫn giải,2,0,2,KEEP_DEFERRED_REVIEW,HIGH,true,0,0,0,0,0,0,1,1,0,0,Resolve deferred header/body/path finding first; do not run fast label-only approval.
BM-062,BM-062__110961a781fa,Lệnh kê biên tài sản,5,2,3,DOCX_AUTHORING,HIGH,false,1,0,1,0,0,0,1,2,0,0,Return to normalized/source DOCX evidence; reauthor or remap before contract mutation.
BM-063,BM-063__54b73110a34f,Biên bản kê biên tài sản,5,2,3,KEEP_DEFERRED_REVIEW,HIGH,true,1,0,1,0,0,0,1,2,0,0,Resolve deferred header/body/path finding first; do not run fast label-only approval.
BM-064,BM-064__4d8cebc3515b,QĐ huỷ bỏ biện pháp kê biên tài sản,2,0,2,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,1,0,1,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-065,BM-065__4a64c8d7e96c,BB về việc thi hành Quyết định hủy bỏ Lệnh kê biên tài sản,6,2,4,KEEP_DEFERRED_REVIEW,HIGH,true,1,0,1,0,0,0,1,3,0,0,Resolve deferred header/body/path finding first; do not run fast label-only approval.
BM-066,BM-066__e3bc56081554,Lệnh phong toả tài khoản,5,2,3,DOCX_AUTHORING,HIGH,false,1,0,1,0,0,0,1,2,0,0,Return to normalized/source DOCX evidence; reauthor or remap before contract mutation.
BM-067,BM-067__0f7607122f29,Biên bản phong tỏa tài khoản,5,2,3,KEEP_DEFERRED_REVIEW,HIGH,true,1,0,1,0,0,0,1,2,0,0,Resolve deferred header/body/path finding first; do not run fast label-only approval.
BM-068,BM-068__6c1275cc752e,QĐ huỷ bỏ biện pháp phong toả tài khoản,4,0,4,DOCX_AUTHORING,HIGH,false,0,0,0,0,0,0,4,0,0,0,Return to normalized/source DOCX evidence; reauthor or remap before contract mutation.
BM-069,BM-069__3a67d1a2e298,BB về việc hủy bỏ biện pháp phong tỏa tài khoản,24,15,9,KEEP_DEFERRED_REVIEW,HIGH,true,5,5,5,0,0,0,4,0,5,0,Resolve deferred header/body/path finding first; do not run fast label-only approval.
BM-070,BM-070__e63499f6fc20,"QĐ phân công PVT THQCT, KS việc giải quyết VAHS",5,0,5,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,5,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-071,BM-071__cacf3f480888,"QĐ phân công KSV, KTV THQCT, KS việc giải quyết VAHS",5,0,5,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,5,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-072,BM-072__fadb53cde2cb,"QĐ thay đổi VT, PVT, KSV, KTV THQCT, KS việc giải quyết vụ án hình sự",4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-073,BM-073__e412fccad227,"Yêu cầu thay đổi Thủ trưởng, PTT, ĐTV cơ quan có thẩm quyền điều tra",0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-074,BM-074__e7b3ef2ccb68,"Yêu cầu cử người phiên dịch, người dịch thuật",6,6,0,PATH_DOMAIN_BINDING,HIGH,false,3,0,3,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-075,BM-075__dc493cfb5fd3,"Đề nghị thay đổi người phiên dịch, người dịch thuật",7,3,4,KEEP_DEFERRED_REVIEW,HIGH,true,1,1,1,0,0,0,1,2,1,0,Resolve deferred header/body/path finding first; do not run fast label-only approval.
BM-076,BM-076__cd44ed3c7e5d,"QĐ thay đổi người phiên dịch, người dịch thuật",9,8,1,PATH_DOMAIN_BINDING,HIGH,false,4,0,4,0,1,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-077,BM-077__99d7843f9f9e,"Yêu cầu, đề nghị cử người bào chữa",5,3,2,KEEP_DEFERRED_REVIEW,HIGH,true,1,1,1,0,0,0,1,0,1,0,Resolve deferred header/body/path finding first; do not run fast label-only approval.
BM-078,BM-078__6845bd7e6cb1,Thông báo người bào chữa,6,6,0,PATH_DOMAIN_BINDING,HIGH,false,3,0,3,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-079,BM-079__80698c347564,Thông báo huỷ bỏ việc đăng ký bào chữa,0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-080,BM-080__a7aa64d4b889,Thông báo từ chối việc đăng ký bào chữa,5,0,5,DOCX_AUTHORING,HIGH,false,0,0,0,0,0,0,2,3,0,0,Return to normalized/source DOCX evidence; reauthor or remap before contract mutation.
BM-081,BM-081__232b8c1d66ae,QĐ thời điểm người bào chữa tham gia tố tụng,4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-082,BM-082__44cc2b043383,"Thông báo về thời gian, địa điểm tiến hành tố tụng cho người bào chữa",5,3,2,KEEP_DEFERRED_REVIEW,HIGH,true,1,1,1,0,0,0,1,0,1,0,Resolve deferred header/body/path finding first; do not run fast label-only approval.
BM-083,BM-083__71218955a7c2,"Yêu cầu thay đổi người giám định, người định giá tài sản",6,6,0,PATH_DOMAIN_BINDING,HIGH,false,3,0,3,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-084,BM-084__c21e2b7fa5cc,"QĐ thay đổi người giám định, người định giá tài sản",4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-085,BM-085__ae0054d1db43,QĐ chuyển vụ án hình sự để điều tra theo thẩm quyền,2,0,2,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-086,BM-086__df834c030dc6,"QĐ chuyển việc thực hiện thẩm quyền thực hành quyền công tố, kiểm sát giải quyết nguồn tin, khởi tố điều tra",1,0,1,SOURCE_POLICY,MEDIUM,false,0,0,0,0,0,1,0,0,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
BM-087,BM-087__80e8edb6b8b2,Yêu cầu điều tra,12,12,0,PATH_DOMAIN_BINDING,HIGH,false,6,0,6,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-088,BM-088__d9d213d94690,QĐ huỷ bỏ QĐ nhập vụ án hình sự,4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-089,BM-089__9d0d4280c6a1,QĐ huỷ bỏ QĐ tách vụ án hình sự,0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-090,BM-090__1c7858168558,QĐ phê chuẩn QĐ khởi tố bị can,3,0,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-091,BM-091__18a41431ecae,QĐ phê chuẩn QĐ thay đổi QĐ khởi tố bị can,4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-092,BM-092__f8ca4bc8033d,QĐ phê chuẩn QĐ bổ sung QĐ khởi tố bị can,6,6,0,PATH_DOMAIN_BINDING,HIGH,false,3,0,3,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-093,BM-093__7273ce5a66b8,QĐ huỷ bỏ QĐ thay đổi QĐ khởi tố bị can,6,6,0,PATH_DOMAIN_BINDING,HIGH,false,3,0,3,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-094,BM-094__12ad016b36d2,QĐ huỷ bỏ QĐ bổ sung QĐ khởi tố bị can,8,8,0,PATH_DOMAIN_BINDING,HIGH,false,4,0,4,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-095,BM-095__83c3c1ef212f,QĐ huỷ bỏ QĐ huỷ bỏ QĐ khởi tố bị can,7,6,1,PATH_DOMAIN_BINDING,HIGH,false,3,0,3,0,1,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-096,BM-096__a50a08efa62f,Yêu cầu ra QĐ khởi tố bị can,32,32,0,PATH_DOMAIN_BINDING,HIGH,false,16,0,16,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-097,BM-097__17f981bf5afd,QĐ khởi tố bị can,3,0,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-098,BM-098__949d75027001,Yêu cầu ra QĐ thay đổi quyết định khởi tố bị can,4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-099,BM-099__ce4aa505a071,QĐ thay đổi QĐ khởi tố bị can,2,2,0,PATH_DOMAIN_BINDING,HIGH,false,1,0,1,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-100,BM-100__a359d20c8fed,Yêu cầu ra QĐ bổ sung QĐ khởi tố bị can,4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-101,BM-101__2fe2187f4777,QĐ bổ sung QĐ khởi tố bị can,8,8,0,PATH_DOMAIN_BINDING,HIGH,false,4,0,4,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-102,BM-102__88bde5060df8,QĐ huỷ bỏ QĐ khởi tố bị can,8,8,0,PATH_DOMAIN_BINDING,HIGH,false,4,0,4,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-103,BM-103__665eb32a5626,Đề nghị gia hạn thời hạn điều tra,1,0,1,SOURCE_POLICY,MEDIUM,false,0,0,0,0,0,1,0,0,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
