BM,Title,Primary lane,Risk,Completion status,Root issues,FAIL,REVIEW,Quality state,Baseline findings,Render status,Next action
BM-015,"KH trực tiếp kiểm sát việc tiếp nhận, giải quyết nguồn tin về tội phạm",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-016,"KL trực tiếp kiểm sát việc tiếp nhận, giải quyết nguồn tin về tội phạm",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-017,Yêu cầu khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-018,Yêu cầu ra QĐ thay đổi QĐ khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-019,Yêu cầu ra QĐ bổ sung QĐ khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-020,"Yêu cầu ra QĐ hủy bỏ QĐ khởi tố, QĐ không khởi tố",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-021,QĐ không khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,AUTOMATED_REVIEW_PENDING,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-022,QĐ huỷ bỏ QĐ không khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-023,QĐ khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-024,QĐ thay đổi QĐ khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-025,QĐ bổ sung QĐ khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-026,QĐ huỷ bỏ QĐ khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-027,Thông báo về việc huỷ bỏ QĐ khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-028,QĐ huỷ bỏ QĐ thay đổi QĐ khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-029,QĐ huỷ bỏ QĐ bổ sung QĐ khởi tố vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-030,Thông báo kết quả giải quyết nguồn tin về tội phạm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-031,QĐ phê chuẩn Lệnh bắt người bị giữ trong trường hợp khẩn cấp,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-032,QĐ không phê chuẩn Lệnh bắt người bị giữ trong trường hợp khẩn cấp,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-033,QĐ phê chuẩn QĐ gia hạn tạm giữ,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-034,QĐ không phê chuẩn QĐ gia hạn tạm giữ,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-035,"QĐ huỷ bỏ QĐ tạm giữ, quyết định gia hạn tạm giữ",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-036,QĐ trả tự do cho người bị tạm giữ,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-037,QĐ phê chuẩn Lệnh bắt bị can để tạm giam,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-038,QĐ không phê chuẩn Lệnh bắt bị can để tạm giam,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-039,Lệnh bắt bị can bị tạm giam,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-040,QĐ phê chuẩn Lệnh tạm giam,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-041,QĐ không phê chuẩn Lệnh tạm giam,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-042,QĐ gia hạn tạm giam,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-043,QĐ huỷ bỏ biện pháp tạm giam,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-044,QĐ thay thế biện pháp tạm giam,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-045,QĐ phê chuẩn QĐ về việc bảo lĩnh,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-046,QĐ không phê chuẩn QĐ về việc bảo lĩnh,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-047,QĐ về việc bảo lĩnh,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-048,QĐ huỷ bỏ biện pháp bảo lĩnh,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-049,QĐ phê chuẩn QĐ về việc đặt tiền để bảo đảm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-050,QĐ không phê chuẩn QĐ về việc đặt tiền để bảo đảm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-051,QĐ về việc đặt tiền để bảo đảm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-052,QĐ huỷ bỏ biện pháp đặt tiền để bảo đảm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-053,Lệnh cấm đi khỏi nơi cư trú,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-054,Thông báo về việc áp dụng biện pháp cấm đi khỏi nơi cư trú,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-055,QĐ huỷ bỏ biện pháp cấm đi khỏi nơi cư trú,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-056,QĐ tạm hoãn xuất cảnh,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-057,QĐ huỷ bỏ biện pháp tạm hoãn xuất cảnh,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-058,Lệnh tạm giam,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-059,QĐ gia hạn thời hạn tạm giam để truy tố 1,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-060,QĐ áp giải bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-061,QĐ dẫn giải,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-062,Lệnh kê biên tài sản,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-063,Biên bản kê biên tài sản,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-064,QĐ huỷ bỏ biện pháp kê biên tài sản,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,AUTOMATED_REVIEW_PENDING,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-065,BB về việc thi hành Quyết định hủy bỏ Lệnh kê biên tài sản,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,AUTOMATED_REVIEW_PENDING,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-066,Lệnh phong toả tài khoản,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-067,Biên bản phong tỏa tài khoản,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,AUTOMATED_REVIEW_PENDING,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-068,QĐ huỷ bỏ biện pháp phong toả tài khoản,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-069,BB về việc hủy bỏ biện pháp phong tỏa tài khoản,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-070,"QĐ phân công PVT THQCT, KS việc giải quyết VAHS",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-071,"QĐ phân công KSV, KTV THQCT, KS việc giải quyết VAHS",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-072,"QĐ thay đổi VT, PVT, KSV, KTV THQCT, KS việc giải quyết vụ án hình sự",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-073,"Yêu cầu thay đổi Thủ trưởng, PTT, ĐTV cơ quan có thẩm quyền điều tra",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,AUTOMATED_REVIEW_PENDING,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-074,"Yêu cầu cử người phiên dịch, người dịch thuật",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-075,"Đề nghị thay đổi người phiên dịch, người dịch thuật",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-076,"QĐ thay đổi người phiên dịch, người dịch thuật",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-077,"Yêu cầu, đề nghị cử người bào chữa",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-078,Thông báo người bào chữa,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-079,Thông báo huỷ bỏ việc đăng ký bào chữa,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-080,Thông báo từ chối việc đăng ký bào chữa,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,AUTOMATED_REVIEW_PENDING,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-081,QĐ thời điểm người bào chữa tham gia tố tụng,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-082,"Thông báo về thời gian, địa điểm tiến hành tố tụng cho người bào chữa",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-083,"Yêu cầu thay đổi người giám định, người định giá tài sản",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-084,"QĐ thay đổi người giám định, người định giá tài sản",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-085,QĐ chuyển vụ án hình sự để điều tra theo thẩm quyền,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-086,"QĐ chuyển việc thực hiện thẩm quyền thực hành quyền công tố, kiểm sát giải quyết nguồn tin, khởi tố điều tra",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-087,Yêu cầu điều tra,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-088,QĐ huỷ bỏ QĐ nhập vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-089,QĐ huỷ bỏ QĐ tách vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-090,QĐ phê chuẩn QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-091,QĐ phê chuẩn QĐ thay đổi QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-092,QĐ phê chuẩn QĐ bổ sung QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-093,QĐ huỷ bỏ QĐ thay đổi QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-094,QĐ huỷ bỏ QĐ bổ sung QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-095,QĐ huỷ bỏ QĐ huỷ bỏ QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-096,Yêu cầu ra QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-097,QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-098,Yêu cầu ra QĐ thay đổi quyết định khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-099,QĐ thay đổi QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-100,Yêu cầu ra QĐ bổ sung QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-101,QĐ bổ sung QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-102,QĐ huỷ bỏ QĐ khởi tố bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-103,Đề nghị gia hạn thời hạn điều tra,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-104,quyết định gia hạn thời hạn điều tra VAHS,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-105,QĐ không gia hạn thời hạn điều tra VAHS,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-106,Yêu cầu truy nã bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-107,QĐ huỷ bỏ QĐ tạm đình chỉ điều tra VAHS,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-108,QĐ huỷ bỏ QĐ tạm đình chỉ điều tra bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-109,QĐ huỷ bỏ QĐ tạm đình chỉ điều tra VAHS đối với bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-110,QĐ huỷ bỏ QĐ đình chỉ điều tra VAHS,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-111,QĐ huỷ bỏ QĐ đình chỉ điều tra bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-112,QĐ huỷ bỏ QĐ đình chỉ điều tra VAHS đối với bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-113,Yêu cầu phục hồi điều tra VAHS,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-114,Yêu cầu phục hồi điều tra bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-115,Yêu cầu phục hồi điều tra VAHS đối với bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-116,QĐ phục hồi điều tra vụ án hình sự,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-117,QĐ phục hồi điều tra bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-118,QĐ phục hồi điều tra VA đối với bị can,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-119,QĐ phê chuẩn Lệnh khám xét,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-120,QĐ không phê chuẩn Lệnh khám xét,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-121,"QĐ phê chuẩn Lệnh thu giữ thư tín, điện tín, bưu kiện, bưu phẩm",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-122,"QĐ không phê chuẩn Lệnh thu giữ thư tín, điện tín, bưu kiện, bưu phẩm",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-123,QĐ thực nghiệm điều tra,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
