templateCode,fieldKey,fieldLabel,required,dataSourceKind,classification,isSystemKind,reason
BM-018,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-019,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-019,"initiationRequest.originatingDecisionDateText","Ngày quyết định khởi tố ban đầu",true,SYSTEM,REVIEW_REQUIRED,true,"Label ""Ngày quyết định khởi tố ban đầu"" ambiguous — requires manual review"
BM-020,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-021,"document.issuePlaceAndDateLine","Địa điểm, ngày ban hành",false,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Label ""Địa điểm, ngày ban hành"" matches safe document place/date pattern"
BM-022,"document.issuePlaceAndDateLine","Số quyết định",false,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-023,"case.caseTitle","Tên vụ việc",true,MANUAL,NEVER_AUTO,false,"Path ""case.caseTitle"" starts with NEVER_AUTO path prefix"
BM-023,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-023,"offense.legalArticle","Điều khoản Bộ luật Hình sự",true,MANUAL,NEVER_AUTO,false,"Path ""offense.legalArticle"" starts with NEVER_AUTO path prefix"
BM-023,"offense.offenseName","Tội danh",true,MANUAL,NEVER_AUTO,false,"Path ""offense.offenseName"" starts with NEVER_AUTO path prefix"
BM-024,"document.issueDate","Số quyết định",false,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issueDate"" starts with safe document path prefix"
BM-024,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",false,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-026,"document.issueDate","Ngày ban hành",false,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issueDate"" starts with safe document path prefix"
BM-027,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-028,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-028,"document.ngayQd","Ngày quyết định",false,MANUAL,REVIEW_REQUIRED,false,"Label ""Ngày quyết định"" ambiguous — requires manual review"
BM-030,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-031,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-033,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-034,"document.issueDate","Ngày ban hành",false,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issueDate"" starts with safe document path prefix"
BM-035,"document.issueDate","Ngày ban hành",false,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issueDate"" starts with safe document path prefix"
BM-036,"document.issuePlaceAndDateLine","Địa điểm, ngày ban hành",false,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Label ""Địa điểm, ngày ban hành"" matches safe document place/date pattern"
BM-037,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-038,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-039,"detentionArrest.birthDay","Ngày sinh",true,MANUAL,NEVER_AUTO,false,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-039,"detentionArrest.detentionToDateLine","Thời hạn đến ngày",true,SYSTEM,REVIEW_REQUIRED,true,"Label ""Thời hạn đến ngày"" contains ""ngày"" but not classified safe/never — requires review"
BM-039,"detentionArrest.identityIssuedDay","Ngày cấp CMND/CCCD",true,MANUAL,NEVER_AUTO,false,"Label ""Ngày cấp CMND/CCCD"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-039,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-040,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-042,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-043,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-044,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-045,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-046,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-047,"defendant.birthDateLine","Ngày sinh",true,SYSTEM,NEVER_AUTO,true,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-047,"defendant.birthPlace","Nơi sinh",true,MANUAL,NEVER_AUTO,false,"Path ""defendant.birthPlace"" starts with NEVER_AUTO path prefix"
BM-047,"defendant.identityIssueDateLine","Ngày cấp CMND/CCCD",true,SYSTEM,NEVER_AUTO,true,"Label ""Ngày cấp CMND/CCCD"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-047,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-048,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-051,"decision.decisionLine3","Địa điểm, ngày lập",false,MANUAL,SAFE_DOCUMENT_PLACE_DATE,false,"Label ""Địa điểm, ngày lập"" matches safe document place/date pattern"
BM-052,"person.birthInfoLine","Sinh ngày, tháng, năm, nơi sinh",false,MANUAL,NEVER_AUTO,false,"Label ""Sinh ngày, tháng, năm, nơi sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-053,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-053,"person.dateOfBirthText","Sinh ngày",true,SYSTEM,NEVER_AUTO,true,"Label ""Sinh ngày"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-054,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-054,"offense.criminalCodeText","Mã Bộ luật Hình sự",true,MANUAL,NEVER_AUTO,false,"Path ""offense.criminalCodeText"" starts with NEVER_AUTO path prefix"
BM-054,"offense.legalArticle","Điều khoản Bộ luật Hình sự",true,MANUAL,NEVER_AUTO,false,"Path ""offense.legalArticle"" starts with NEVER_AUTO path prefix"
BM-054,"offense.offenseName","Tên tội phạm",true,MANUAL,NEVER_AUTO,false,"Path ""offense.offenseName"" starts with NEVER_AUTO path prefix"
BM-054,"person.dateOfBirthText","Sinh ngày",true,SYSTEM,NEVER_AUTO,true,"Label ""Sinh ngày"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-055,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-055,"offense.criminalCodeText","Mã Bộ luật Hình sự",true,MANUAL,NEVER_AUTO,false,"Path ""offense.criminalCodeText"" starts with NEVER_AUTO path prefix"
BM-055,"offense.legalArticle","Điều khoản Bộ luật Hình sự",true,MANUAL,NEVER_AUTO,false,"Path ""offense.legalArticle"" starts with NEVER_AUTO path prefix"
BM-055,"offense.offenseName","Tên tội phạm",true,MANUAL,NEVER_AUTO,false,"Path ""offense.offenseName"" starts with NEVER_AUTO path prefix"
BM-055,"person.dateOfBirthText","Sinh ngày",true,SYSTEM,NEVER_AUTO,true,"Label ""Sinh ngày"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-056,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-056,"measure.exitPostponementFromDateText","Từ ngày",true,SYSTEM,REVIEW_REQUIRED,true,"Label ""Từ ngày"" contains ""ngày"" but not classified safe/never — requires review"
BM-056,"measure.exitPostponementToDateText","Đến ngày",true,SYSTEM,REVIEW_REQUIRED,true,"Label ""Đến ngày"" contains ""ngày"" but not classified safe/never — requires review"
BM-056,"person.dateOfBirthText","Sinh ngày",true,SYSTEM,NEVER_AUTO,true,"Label ""Sinh ngày"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-057,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-057,"person.dateOfBirthText","Sinh ngày",true,SYSTEM,NEVER_AUTO,true,"Label ""Sinh ngày"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-058,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,COMPUTED,SAFE_DOCUMENT_PLACE_DATE,false,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-058,"person.dateOfBirthText","Ngày sinh",true,COMPUTED,NEVER_AUTO,false,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-059,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-059,"measure.detentionExtensionFromDateText","Từ ngày",true,SYSTEM,REVIEW_REQUIRED,true,"Label ""Từ ngày"" contains ""ngày"" but not classified safe/never — requires review"
BM-059,"measure.detentionExtensionToDateText","Đến ngày",true,SYSTEM,REVIEW_REQUIRED,true,"Label ""Đến ngày"" contains ""ngày"" but not classified safe/never — requires review"
BM-059,"person.birthDay","Ngày sinh",true,MANUAL,NEVER_AUTO,false,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-059,"person.birthMonth","Tháng sinh",true,MANUAL,NEVER_AUTO,false,"Path ""person.birthMonth"" starts with NEVER_AUTO path prefix"
BM-059,"person.birthYear","Năm sinh",true,MANUAL,NEVER_AUTO,false,"Path ""person.birthYear"" starts with NEVER_AUTO path prefix"
BM-060,"decision.decisionLine10","Địa điểm, ngày lập",false,MANUAL,SAFE_DOCUMENT_PLACE_DATE,false,"Label ""Địa điểm, ngày lập"" matches safe document place/date pattern"
BM-062,"person.birthInfoLine","Sinh ngày, tháng, năm, nơi sinh",false,MANUAL,NEVER_AUTO,false,"Label ""Sinh ngày, tháng, năm, nơi sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-062,"person.identityIssueDateLine","Ngày cấp giấy tờ tùy thân",false,MANUAL,NEVER_AUTO,false,"Label ""Ngày cấp giấy tờ tùy thân"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-063,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",false,COMPUTED,SAFE_DOCUMENT_PLACE_DATE,false,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-063,"person.birthInfoLine","Sinh ngày, tháng, năm, nơi sinh",false,MANUAL,NEVER_AUTO,false,"Label ""Sinh ngày, tháng, năm, nơi sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-063,"person.identityIssueLine","Ngày cấp, nơi cấp giấy tờ tùy thân",false,MANUAL,NEVER_AUTO,false,"Label ""Ngày cấp, nơi cấp giấy tờ tùy thân"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-064,"document.issueDate","Ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issueDate"" starts with safe document path prefix"
BM-066,"document.issuePlaceAndDateLine","Địa danh, ngày tháng năm ban hành",false,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-066,"person.birthInfoLine","Sinh ngày, tháng, năm, nơi sinh",false,MANUAL,NEVER_AUTO,false,"Label ""Sinh ngày, tháng, năm, nơi sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-066,"person.identityIssueLine","Ngày cấp, nơi cấp giấy tờ tùy thân",false,MANUAL,NEVER_AUTO,false,"Label ""Ngày cấp, nơi cấp giấy tờ tùy thân"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-068,"document.issueDate","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_PLACE_DATE,false,"Path ""document.issueDate"" starts with safe document path prefix"
BM-068,"person.dateOfBirth","Ngày sinh",false,MANUAL,NEVER_AUTO,false,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-069,"document.issueDate","Ngày lập biên bản",false,MANUAL,SAFE_DOCUMENT_PLACE_DATE,false,"Path ""document.issueDate"" starts with safe document path prefix"
BM-069,"person.dateOfBirth","Ngày sinh",false,MANUAL,NEVER_AUTO,false,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-070,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-071,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-073,"document.issueDate","Ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issueDate"" starts with safe document path prefix"
BM-073,"person.dateOfBirth","Ngày sinh",false,MANUAL,NEVER_AUTO,false,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-075,"person.dateOfBirth","Ngày sinh",false,MANUAL,NEVER_AUTO,false,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-076,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-080,"document.issueDate","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_PLACE_DATE,false,"Path ""document.issueDate"" starts with safe document path prefix"
BM-080,"person.dateOfBirth","Ngày sinh",false,MANUAL,NEVER_AUTO,false,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-085,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-086,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-087,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-090,"document.issuePlaceDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceDateLine"" starts with safe document path prefix"
BM-092,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-093,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-094,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-095,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-096,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-097,"document.issuePlaceDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceDateLine"" starts with safe document path prefix"
BM-097,"offense.actDescriptionLine","Mô tả hành vi phạm tội",true,MANUAL,NEVER_AUTO,false,"Path ""offense.actDescriptionLine"" starts with NEVER_AUTO path prefix"
BM-097,"person.birthInfoLine","Sinh ngày",true,MANUAL,NEVER_AUTO,false,"Label ""Sinh ngày"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-101,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-102,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-103,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-103,"investigationExtension.fromDateText","Từ ngày",true,SYSTEM,REVIEW_REQUIRED,true,"Label ""Từ ngày"" contains ""ngày"" but not classified safe/never — requires review"
BM-103,"investigationExtension.toDateText","Đến ngày",true,SYSTEM,REVIEW_REQUIRED,true,"Label ""Đến ngày"" contains ""ngày"" but not classified safe/never — requires review"
BM-104,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-105,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-106,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-108,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-109,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-111,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-112,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-113,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-114,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-115,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-116,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-117,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-117,"document.ngayQd","Ngày quyết định",false,MANUAL,REVIEW_REQUIRED,false,"Label ""Ngày quyết định"" ambiguous — requires manual review"
BM-118,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-119,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-120,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-125,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-126,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-127,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
